timestamp,variable,organization,value,ingestion_time
2024-04-02 12:00:00.000000 UTC,CHL-01,gsinima,0.27011841535568237,2024-04-03 00:00:00.000000 UTC
2024-04-01 12:00:00.000000 UTC,SPM-01,adasa,,2024-04-02 00:00:00.000000 UTC
2024-04-01 12:00:00.000000 UTC,CHL-01,adasa,0.678459644317627,2024-04-02 00:00:00.000000 UTC
2024-04-01 12:00:00.000000 UTC,SPM-01,gsinima,,2024-04-02 00:00:00.000000 UTC
2024-04-01 12:00:00.000000 UTC,CHL-01,gsinima,0.2841021716594696,2024-04-02 00:00:00.000000 UTC
2024-03-31 12:00:00.000000 UTC,SPM-01,adasa,,2024-04-01 00:00:00.000000 UTC
2024-03-31 12:00:00.000000 UTC,CHL-01,adasa,1.7589091062545776,2024-04-01 00:00:00.000000 UTC
2024-03-31 12:00:00.000000 UTC,SPM-01,gsinima,,2024-04-01 00:00:00.000000 UTC
2024-03-31 12:00:00.000000 UTC,CHL-01,gsinima,0.28437650203704834,2024-04-01 00:00:00.000000 UTC
2024-03-30 12:00:00.000000 UTC,CHL-01,adasa,1.1156156063079834,2024-03-31 00:00:00.000000 UTC
2024-03-30 12:00:00.000000 UTC,SPM-01,adasa,0.54431164264678955,2024-03-31 00:00:00.000000 UTC
2024-03-30 12:00:00.000000 UTC,CHL-01,gsinima,0.28452771902084351,2024-03-31 00:00:00.000000 UTC
2024-03-30 12:00:00.000000 UTC,SPM-01,gsinima,0.35131853818893433,2024-03-31 00:00:00.000000 UTC
2024-03-29 12:00:00.000000 UTC,SPM-01,adasa,0.55875283479690552,2024-03-30 00:00:00.000000 UTC
2024-03-29 12:00:00.000000 UTC,CHL-01,adasa,9.8677749633789062,2024-03-30 00:00:00.000000 UTC
2024-03-29 12:00:00.000000 UTC,SPM-01,gsinima,,2024-03-30 00:00:00.000000 UTC
2024-03-29 12:00:00.000000 UTC,CHL-01,gsinima,0.317941278219223,2024-03-30 00:00:00.000000 UTC
2024-03-28 12:00:00.000000 UTC,CHL-01,adasa,1.265254020690918,2024-03-29 00:00:00.000000 UTC
2024-03-28 12:00:00.000000 UTC,CHL-01,gsinima,0.29238113760948181,2024-03-29 00:00:00.000000 UTC
